# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: D:\Altera DE2-35\DE2_v2.0.4_SystemCD\DE2_demonstrations\DE2_Default\DE2_Default.csv
# Generated on: Mon Nov 26 19:49:00 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
#SWITCH[0],Unknown,PIN_N25,5,B5_N1,,,,
#SWITCH[1],Unknown,PIN_N26,5,B5_N1,,,,
#SWITCH[2],Unknown,PIN_P25,6,B6_N0,,,,
#SWITCH[3],Unknown,PIN_AE14,7,B7_N1,,,,
#SWITCH[4],Unknown,PIN_AF14,7,B7_N1,,,,
#SWITCH[5],Unknown,PIN_AD13,8,B8_N0,,,,
#SWITCH[6],Unknown,PIN_AC13,8,B8_N0,,,,
#SWITCH[7],Unknown,PIN_C13,3,B3_N0,,,,
#SWITCH[8],Unknown,PIN_B13,4,B4_N1,,,,
#SWITCH[9],Unknown,PIN_A13,4,B4_N1,,,,
#SWITCH[10],Unknown,PIN_N1,2,B2_N1,,,,
#SWITCH[11],Unknown,PIN_P1,1,B1_N0,,,,
#SWITCH[12],Unknown,PIN_P2,1,B1_N0,,,,
#SWITCH[13],Unknown,PIN_T7,1,B1_N0,,,,
#SWITCH[14],Unknown,PIN_U3,1,B1_N0,,,,
#SWITCH[15],Unknown,PIN_U4,1,B1_N0,,,,
#SWITCH[16],Unknown,PIN_V1,1,B1_N0,,,,
#SWITCH[17],Unknown,PIN_V2,1,B1_N0,,,,
BUTTON_N[0],Unknown,PIN_G26,5,B5_N0,,,,
BUTTON_N[1],Unknown,PIN_N23,5,B5_N1,,,,
BUTTON_N[2],Unknown,PIN_P23,6,B6_N0,,,,
BUTTON_N[3],Unknown,PIN_W26,6,B6_N1,,,,
